+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2025-02-05 11:51:12Z
| UUID: 00190d87-9bb4-4321-a212-ff87d1babd24
| Date: 2025-02-05
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2025-02-05,Network activity,url,https://olx-pl.ymijmy.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.nicherov.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.opechatra.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.dravrof.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.tvikols.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.dlivanik.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.fotorsa.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.climeros.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.pervialom.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.chelsaf.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.fvolers.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.priazen.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.yposhap.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.canams.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.ocdomat.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.derjken.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.chaponl.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.leigor.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.aboliko.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.dvikalo.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.tyxerolk.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.amniksn.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.vtiolerka.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.avolikani.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.typavonil.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.vwizanil.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.amiloker.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.hascers.cfd/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.cyvorilo.sbs/payment/88a7b9080651/millennium,Phishing site
2025-02-05,Network activity,url,https://olx-pl.fikarse.sbs/payment/88a7b9080651/millennium,Phishing site
