+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Remcos host indicators [2025-02-06]
| UUID: 423854da-180b-4520-af29-2f3b4cf363cb
| Date: 2025-02-06
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2025-02-06,Payload installation,filename,SecuriteInfo.com.Win32.PWSX-gen.20067.27527,Source: MalwareBazaar
2025-02-06,Payload installation,md5,ddca315e7e17c81d1a06755ef164adc5,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,f2e6f819483d593876c849e35943de13826b8dbe,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,92f6167d4a5a568418c7439917b262922745f536b091f9b6d059ca7b4475d6cd,Source: MalwareBazaar
2025-02-06,Payload installation,filename,SecuriteInfo.com.Win32.PWSX-gen.10031.11384,Source: MalwareBazaar
2025-02-06,Payload installation,md5,d2cdd24bdc88bd545fe5032be4b96740,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,33544c32241fbe5aee3c39040f7f627b3ad8ec54,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,5e95fb52da2144a06a66a593a6f12877108ebcdeb69f8f60ad010831d4fce1eb,Source: MalwareBazaar
2025-02-06,Payload installation,filename,Order29349.vbs,Source: MalwareBazaar
2025-02-06,Payload installation,md5,c81780ab687d23b2f6209af3c662face,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,3f19d4d38aa2e90229df2c82f3b0e3d1d063e5a3,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,b516f0a750847a01c97cad8d7d50742d27e9c9cfc9c70de03bfd70bcabc500a0,Source: MalwareBazaar
2025-02-06,Payload installation,filename,SIP_20252780935456808324578723572956.exe,Source: MalwareBazaar
2025-02-06,Payload installation,md5,725d50e3d1d33e570efef92c4f72dd1c,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,059a6d565986ab372f99a7e86ea612aad3c6e190,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,76a9a68e8da599c81f44d2a43fb4fe5e5e4d2e6c5881ccf775ecd665c16939d8,Source: MalwareBazaar
2025-02-06,Payload installation,filename,Order06022025.vbs,Source: MalwareBazaar
2025-02-06,Payload installation,md5,fc8d77cd6e794397338455994b84a77b,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,333e8557c2db34fe5a2bc8df30ab4a0882d7840e,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,471069591438089c87fa9540e0d50b6a8fc0ca00bffd4ac4a2d7a9b4b96755f7,Source: MalwareBazaar
2025-02-06,Payload installation,filename,ece85809d230590363da74db6749fccdcc80dbd3f47359e478db0c4e0d6e3010,Source: MalwareBazaar
2025-02-06,Payload installation,md5,5899106d7ef4bf9c393437fc2851b936,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,0693d81f3ef85e8d5820563d7cedd2c54361970f,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,ece85809d230590363da74db6749fccdcc80dbd3f47359e478db0c4e0d6e3010,Source: MalwareBazaar
2025-02-06,Payload installation,filename,seethebewtthingstodothebestwayofgreatnessgod.hta,Source: MalwareBazaar
2025-02-06,Payload installation,md5,b17075441c09b68399252230d95973af,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,c4951ff30e5c1d76da15be8d097bb9c9b8514235,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,23650e26608f6c5c065c8989912b168ec6fba89e759a1a7f3edbe27345e21e4b,Source: MalwareBazaar
2025-02-06,Payload installation,filename,Order07022025.vbs,Source: MalwareBazaar
2025-02-06,Payload installation,md5,da296339e45ea8d841f6c6d8435fee57,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,16b90a15fa59a87ff811dec873cecd132d2b6a48,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,94578e9519b5fe0c4335fe306263eef8a51fb7289a86901e83161f984a4cea5d,Source: MalwareBazaar
2025-02-06,Payload installation,filename,sheismybestgirlwholovesmebestwithgirlfirstnightgoood.hta,Source: MalwareBazaar
2025-02-06,Payload installation,md5,32bd7fd6ff215717e8c312e746d73271,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,fa44ea813d1714d501676bf422eb1757610e25af,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,ac4ab4116f0955571d28bdb8024437ad7a8b379c3ca613b16f837d6768370e8e,Source: MalwareBazaar
