+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2025-02-05
| UUID: b3552afc-ec02-453c-98b6-f80cad694f5b
| Date: 2025-02-05
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2025-02-05,Payload delivery,domain,check.repw.run,ClearFake payload delivery domain (confidence level: 100%)
2025-02-05,Payload delivery,url,https://check.repw.run/gkcxv.google,ClearFake payload delivery URL (confidence level: 100%)
2025-02-05,Network activity,ip-dst|port,147.185.221.24|24206,NjRAT botnet C2 server (confidence level: 100%)
2025-02-05,Network activity,ip-dst|port,147.185.221.22|40639,NjRAT botnet C2 server (confidence level: 100%)
2025-02-05,Network activity,domain,mj2025.ddns.net,NjRAT botnet C2 domain (confidence level: 100%)
2025-02-05,Network activity,domain,good-engaged.at.playit.gg,NjRAT botnet C2 domain (confidence level: 100%)
2025-02-05,Network activity,domain,supportinformtion.serveirc.com,NjRAT botnet C2 domain (confidence level: 100%)
2025-02-05,Network activity,domain,agdsagds.kro.kr,NjRAT botnet C2 domain (confidence level: 100%)
2025-02-05,Network activity,url,http://broadflame.site/index.php,Azorult botnet C2 (confidence level: 100%)
2025-02-05,Network activity,url,https://116.202.5.153/,Vidar botnet C2 (confidence level: 100%)
2025-02-05,Network activity,ip-dst|port,109.107.140.195|6443,Cobalt Strike botnet C2 server (confidence level: 100%)
2025-02-05,Network activity,ip-dst|port,178.73.192.6|2404,Remcos botnet C2 server (confidence level: 100%)
2025-02-05,Network activity,ip-dst|port,195.177.95.222|2404,Remcos botnet C2 server (confidence level: 100%)
2025-02-05,Network activity,ip-dst|port,185.199.224.91|2404,Remcos botnet C2 server (confidence level: 100%)
