+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2025-02-04
| UUID: 43a12d01-9484-4571-8b10-1db1a31d1d59
| Date: 2025-02-04
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2025-02-04,Payload delivery,url,http://175.174.87.108:32780/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://117.235.96.159:46976/i,Malware distribution site
2025-02-04,Payload delivery,url,http://42.227.244.233:51053/i,Malware distribution site
2025-02-04,Payload delivery,url,http://120.194.137.98:53689/i,Malware distribution site
2025-02-04,Payload delivery,url,http://115.63.244.167:58541/i,Malware distribution site
2025-02-04,Payload delivery,url,http://117.209.2.241:56827/i,Malware distribution site
2025-02-04,Payload delivery,url,http://117.209.11.111:45223/i,Malware distribution site
2025-02-04,Payload delivery,url,http://117.209.80.47:56936/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://59.88.4.136:53724/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://117.212.174.211:58764/i,Malware distribution site
2025-02-04,Payload delivery,url,http://27.220.151.197:51214/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://196.189.96.59:41008/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://117.209.80.47:56936/i,Malware distribution site
2025-02-04,Payload delivery,url,http://175.30.110.199:44795/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://113.25.206.117:58593/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://61.0.211.170:39761/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://119.186.235.221:58810/i,Malware distribution site
2025-02-04,Payload delivery,url,http://219.157.26.152:52847/i,Malware distribution site
2025-02-04,Payload delivery,url,http://123.190.141.18:35642/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://182.117.29.8:34765/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://61.53.241.238:34534/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://59.99.218.225:53181/i,Malware distribution site
2025-02-04,Payload delivery,url,http://61.52.94.124:39132/i,Malware distribution site
2025-02-04,Payload delivery,url,http://202.83.173.33:42542/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://110.183.26.172:42999/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://113.25.206.117:58593/i,Malware distribution site
2025-02-04,Payload delivery,url,http://196.189.96.59:41008/i,Malware distribution site
2025-02-04,Payload delivery,url,http://59.182.211.241:55934/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://117.193.173.72:59921/i,Malware distribution site
2025-02-04,Payload delivery,url,http://59.99.211.205:41083/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://61.0.211.170:39761/i,Malware distribution site
2025-02-04,Payload delivery,url,http://202.83.173.33:42542/i,Malware distribution site
2025-02-04,Payload delivery,url,http://219.156.131.171:32961/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://117.209.2.168:37174/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://42.225.206.148:48166/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://1.70.99.237:55013/i,Malware distribution site
2025-02-04,Payload delivery,url,http://27.215.86.28:44970/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://182.126.121.86:59250/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://61.53.241.238:34534/i,Malware distribution site
2025-02-04,Payload delivery,url,http://219.156.131.171:32961/i,Malware distribution site
2025-02-04,Payload delivery,url,http://117.196.143.229:57126/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://117.193.149.96:36138/bin.sh,Malware distribution site
2025-02-04,Payload delivery,url,http://117.209.91.162:36636/bin.sh,Malware distribution site
