+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2025-02-06
| UUID: f8353789-8631-463b-9bee-7b45a18a64cb
| Date: 2025-02-06
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2025-02-06,Payload delivery,url,http://185.142.53.168:45/nevaeva/ha,Malware distribution site
2025-02-06,Payload delivery,url,http://185.142.53.168:45/nevaeva/gfds,Malware distribution site
2025-02-06,Payload delivery,url,http://122.159.54.177:55870/bin.sh,Malware distribution site
2025-02-06,Payload delivery,url,http://223.15.14.162:47268/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://42.52.165.116:48727/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://117.254.38.221:59764/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://117.204.225.117:51914/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://117.199.19.87:60594/i,Malware distribution site
2025-02-06,Payload delivery,url,http://103.207.125.137:35860/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://117.216.153.67:50680/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://45.164.177.113:10430/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://222.137.79.164:51379/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://124.131.89.223:47215/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://192.22.160.67:57956/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://222.85.37.31:52702/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://102.33.36.181:48994/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://103.175.180.25:33552/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://117.213.87.227:49917/Mozi.m,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/wcsnmbcnm.sh,Malware distribution site
2025-02-06,Payload delivery,url,http://115.50.208.128:55195/i,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/linux_aarch64,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/linux_arm7,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/linux_arm6,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/linux_mipsel,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/linux_386,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/linux_amd64,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/linux_mips64el,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/linux_arm5,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/linux_mips,Malware distribution site
2025-02-06,Payload delivery,url,http://103.192.179.32/linux_mips64,Malware distribution site
2025-02-06,Payload delivery,url,http://59.93.145.187:32848/i,Malware distribution site
2025-02-06,Payload delivery,url,http://117.221.120.175:39963/i,Malware distribution site
2025-02-06,Payload delivery,url,http://45.176.101.111:53990/i,Malware distribution site
2025-02-06,Payload delivery,url,http://81.70.85.113/empsl,Malware distribution site
2025-02-06,Payload delivery,url,http://81.70.85.113/backdoor/ex86,Malware distribution site
2025-02-06,Payload delivery,url,http://81.70.85.113/tp/earm5,Malware distribution site
2025-02-06,Payload delivery,url,http://81.70.85.113/emips,Malware distribution site
2025-02-06,Payload delivery,url,http://81.70.85.113/earm5,Malware distribution site
2025-02-06,Payload delivery,url,http://81.70.85.113/dvrLocker,Malware distribution site
2025-02-06,Payload delivery,url,http://81.70.85.113/tp/empsl,Malware distribution site
2025-02-06,Payload delivery,url,http://81.70.85.113/backdoor/empsl,Malware distribution site
2025-02-06,Payload delivery,url,http://81.70.85.113/ex86,Malware distribution site
2025-02-06,Payload delivery,url,http://81.70.85.113/tp/earm6,Malware distribution site
