+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-12-16 16:30:20Z
| UUID: 6fb618d9-42a7-457d-af62-4ba7ba35c43c
| Date: 2024-12-16
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-16,Network activity,url,https://dp-d.889237883.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://01x.389237883.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://0lx.83098233.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://d-pd.17346757.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://dqd.67000234.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://gratka.07346757.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://inp0st.33098233.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://v1nted.77000234.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://qlx.789237883.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://ihpost.43098233.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://0-lx.93098233.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://01x.689237883.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://qlx.73098233.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://dpdd.47000234.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://allegrolokallnie.47346757.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://dp-d.27346757.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://ollx.07000234.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://ollx.63098233.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://dppd.989237883.xyz/0uh2kbwi/r6hsIB/7,Phishing site
2024-12-16,Network activity,url,https://oolx.189237883.xyz/0uh2kbwi/r6hsIB/7,Phishing site
