+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Cybercriminals Impersonate Dubai Police to Defraud Consumers in the UAE - Smishing Triad in Action
| UUID: 819042bf-a00a-4525-a3a3-74d474d35d12
| Date: 2024-12-24
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-24,Network activity,hostname,www.ityht.icu,
2024-12-24,Network activity,hostname,ju.fhjre.icu,
2024-12-24,Network activity,hostname,ex.xnkkg.icu,
2024-12-24,Network activity,hostname,ws.tyrrt.icu,
2024-12-24,Network activity,hostname,zc.bnfhf.icu,
2024-12-24,Network activity,hostname,ww.xbhff.icu,
2024-12-24,Network activity,hostname,fs.fdghe.icu,
2024-12-24,Network activity,hostname,www.zvdeasa.icu,
2024-12-24,Network activity,hostname,sx.ssgxvx.icu,
2024-12-24,Network activity,hostname,fc.xcbbx.icu,
2024-12-24,Network activity,hostname,bc.cnbjgds.icu,
2024-12-24,Network activity,hostname,gf.uoyty.icu,
2024-12-24,Network activity,hostname,qq.bcvgdf.icu,
2024-12-24,Network activity,hostname,fc.hjffd.icu,
2024-12-24,Network activity,hostname,tg.sdhju.icu,
2024-12-24,Network activity,hostname,xx.cxbdf.icu,
2024-12-24,Network activity,hostname,ws.bnfhfd.icu,
2024-12-24,Network activity,hostname,az.vcnjh.icu,
2024-12-24,Network activity,hostname,gv.ityht.icu,
2024-12-24,Network activity,hostname,yg.utyus.icu,
2024-12-24,Network activity,hostname,ws.vdsfsh.icu,
2024-12-24,Network activity,hostname,pl.fhm.icu,
2024-12-24,Network activity,hostname,fs.vjddg.icu,
2024-12-24,Network activity,hostname,ut.ddgjcv.icu,
2024-12-24,Network activity,hostname,ws.dsgsv.icu,
