+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-12-19
| UUID: 2deea06a-25a9-4e52-932f-765be0dfe0f1
| Date: 2024-12-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-20,Network activity,hostname,usps.com-trackpfq.top,Host name or IP address of the phishing attack
2024-12-20,Network activity,url,http://usps.com-trackpfq.top,Source URL
2024-12-20,Other,text,USPS,Target of the attack
2024-12-20,Network activity,hostname,wauppuat.link,Host name or IP address of the phishing attack
2024-12-20,Network activity,url,http://wauppuat.link,Source URL
2024-12-20,Other,text,Singapore Post,Target of the attack
2024-12-20,Network activity,hostname,wwwteiegrme.xyz,Host name or IP address of the phishing attack
2024-12-20,Network activity,url,http://wwwteiegrme.xyz,Source URL
2024-12-20,Other,text,Telegram,Target of the attack
2024-12-20,Network activity,hostname,usps.com-trackdkm.top,Host name or IP address of the phishing attack
2024-12-20,Network activity,url,http://usps.com-trackdkm.top,Source URL
2024-12-20,Other,text,USPS,Target of the attack
2024-12-20,Network activity,hostname,usps.com-trackrjt.top,Host name or IP address of the phishing attack
2024-12-20,Network activity,url,http://usps.com-trackrjt.top,Source URL
2024-12-20,Other,text,USPS,Target of the attack
2024-12-20,Network activity,hostname,usps.com-trackjik.top,Host name or IP address of the phishing attack
2024-12-20,Network activity,url,http://usps.com-trackjik.top,Source URL
2024-12-20,Other,text,USPS,Target of the attack
2024-12-20,Network activity,hostname,disneyplus.lillbjorkensbyggeri.se,Host name or IP address of the phishing attack
2024-12-20,Network activity,url,https://disneyplus.lillbjorkensbyggeri.se/,Source URL
2024-12-20,Other,text,Disney+,Target of the attack
2024-12-20,Network activity,hostname,lillbjorkensbyggeri.se,Host name or IP address of the phishing attack
2024-12-20,Network activity,url,http://www.lillbjorkensbyggeri.se/de,Source URL
2024-12-20,Other,text,Disney+,Target of the attack
2024-12-20,Network activity,hostname,yewopt.com,Host name or IP address of the phishing attack
2024-12-20,Network activity,url,https://yewopt.com/css/fbad540b2f3b5638a9be9aa6a4d8e450,Source URL
2024-12-20,Other,text,Netflix,Target of the attack
