+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: PythonRatLoader The Proprietor of XWorm and Friends
| UUID: d9516a4d-592a-41a5-b255-05026d375ecd
| Date: 2024-12-02
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-02,Network activity,url,https://principles-yours-respected-skirt.trycloudflare.com/,
2024-12-02,Network activity,ip-dst,104.16.231.132,
2024-12-02,Network activity,url,https://dl.dropboxusercontent.com/scl/fi/,
2024-12-02,Network activity,url,uc4m6iiv8h3raopsr6xd0/RE019290049022PDF.zip,
2024-12-02,Network activity,ip-dst,162.125.3.15,
2024-12-02,Network activity,url,file://puzzle-photographers-nitrogen-rod.trycloudflare.com@SSL/DavWWWRoot/DE,
2024-12-02,Network activity,domain,corn.zip,
2024-12-02,Payload delivery,md5,fa30434fcbe067ad524ca1c00dcbca01,
2024-12-02,Payload delivery,md5,6ccf65d9be4b65d1f2ae3db67416dbca,
2024-12-02,Payload delivery,md5,392be8ec633f895e250ab25bee7bb500,
2024-12-02,Network activity,domain,re019290049022pdf.zip,
2024-12-02,Payload delivery,md5,9742f6929bba7d013daae4c5fc2547ee,
2024-12-02,Payload delivery,md5,19b1574f42e4155ab7d9c4b42b6b0346,
2024-12-02,Payload delivery,md5,468ed60510cc92d8d9318e48f79d335d,
2024-12-02,Payload delivery,filename,update.bat,
2024-12-02,Payload delivery,md5,ba9d0ceb4bef463f86099709235d9a0e,
2024-12-02,Payload delivery,filename,corn.bat,
2024-12-02,Payload delivery,md5,e026c362ee2d4c066e2f564254560a03,
2024-12-02,Financial fraud,btc,351ebfe9c81cb911f68c4738ba9e6106d,
2024-12-02,Network activity,domain,xw.py,
2024-12-02,Payload delivery,md5,4e2841b499fd642a1e10bf8540be522e,
2024-12-02,Network activity,domain,xo.py,
2024-12-02,Payload delivery,md5,a32d7f8db33801d0325eeaa6c4a43e64,
2024-12-02,Network activity,domain,ch.py,
2024-12-02,Payload delivery,md5,d1ba417dd1d23b33a3210e9f22a5a099,
