+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-12-16
| UUID: 187f2020-22de-4e50-a23f-16bf5b285118
| Date: 2024-12-17
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-17,Network activity,hostname,rectifyalpmain.pages.dev,Host name or IP address of the phishing attack
2024-12-17,Network activity,url,http://rectifyalpmain.pages.dev,Source URL
2024-12-17,Other,text,Crypto,Target of the attack
2024-12-17,Network activity,hostname,trackbtt.com,Host name or IP address of the phishing attack
2024-12-17,Network activity,url,https://trackbtt.com/,Source URL
2024-12-17,Other,text,Telegram,Target of the attack
2024-12-17,Network activity,hostname,full-vidio.buys.ru,Host name or IP address of the phishing attack
2024-12-17,Network activity,url,http://full-vidio.buys.ru/,Source URL
2024-12-17,Other,text,Telegram,Target of the attack
2024-12-17,Network activity,hostname,omadsshou.cfd,Host name or IP address of the phishing attack
2024-12-17,Network activity,url,http://omadsshou.cfd,Source URL
2024-12-17,Other,text,Telegram,Target of the attack
2024-12-17,Network activity,hostname,jdrnpei.xyz,Host name or IP address of the phishing attack
2024-12-17,Network activity,url,http://jdrnpei.xyz/ZpefzKfDwWCffu56,Source URL
2024-12-17,Other,text,Telegram,Target of the attack
2024-12-17,Network activity,hostname,jrtfans.com,Host name or IP address of the phishing attack
2024-12-17,Network activity,url,https://jrtfans.com/,Source URL
2024-12-17,Other,text,Telegram,Target of the attack
2024-12-17,Network activity,hostname,ormidhia.com,Host name or IP address of the phishing attack
2024-12-17,Network activity,url,https://ormidhia.com/,Source URL
2024-12-17,Other,text,Telegram,Target of the attack
2024-12-17,Network activity,hostname,telaagam.hempproud.com,Host name or IP address of the phishing attack
2024-12-17,Network activity,url,http://telaagam.hempproud.com/,Source URL
2024-12-17,Other,text,Telegram,Target of the attack
2024-12-17,Network activity,hostname,muratr.agency,Host name or IP address of the phishing attack
2024-12-17,Network activity,url,http://muratr.agency/,Source URL
2024-12-17,Other,text,Telegram,Target of the attack
2024-12-17,Network activity,hostname,kxdhrqz.xyz,Host name or IP address of the phishing attack
