+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Horns&Hooves campaign delivers NetSupport RAT and BurnsRAT
| UUID: 71715c05-e3e3-4544-98d1-9343fe18bd20
| Date: 2024-12-16
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-16,Payload delivery,md5,327a1f32572b4606ae19085769042e51,
2024-12-16,Payload delivery,md5,34eb579dc89e1dc0507ad646a8dce8be,
2024-12-16,Payload delivery,filename,bat_install.bat,
2024-12-16,Payload delivery,md5,b3bde532cfbb95c567c069ca5f90652c,
2024-12-16,Payload delivery,md5,29362dcdb6c57dde0c112e25c9706dcf,
2024-12-16,Payload delivery,filename,www.php,
2024-12-16,Payload delivery,md5,882f2de65605dd90ee17fb65a01fe2c7,
2024-12-16,Payload delivery,filename,installet_bat_vbs.bat,
2024-12-16,Payload delivery,md5,5f4284115ab9641f1532bb64b650aad6,
2024-12-16,Payload delivery,md5,0fea857a35b972899e8f1f60ee58e450,
2024-12-16,Payload delivery,md5,20014b80a139ed256621b9c0ac4d7076,
2024-12-16,Payload delivery,filename,BLD.exe,
2024-12-16,Payload delivery,md5,7f0ee078c8902f12d6d9e300dabf6aed,
2024-12-16,Payload delivery,filename,1.js,
2024-12-16,Payload delivery,md5,63647520b36144e31fb8ad7dd10e3d21,
2024-12-16,Payload delivery,md5,8096e00aa7877b863ef5a437f55c8277,
2024-12-16,Payload delivery,md5,12ab1bc0989b32c55743df9b8c46af5a,
2024-12-16,Payload delivery,filename,666.bat,
2024-12-16,Payload delivery,md5,50dc5faa02227c0aefa8b54c8e5b2b0d,
2024-12-16,Payload delivery,filename,1.yay,
2024-12-16,Payload delivery,md5,e760a5ce807c756451072376f88760d7,
2024-12-16,Payload delivery,filename,ngg_cl.zip,
2024-12-16,Payload delivery,md5,b03c67239e1e774077995bac331a8950,
2024-12-16,Payload delivery,md5,ba69cc9f087411995c64ca0d96da7b69,
2024-12-16,Payload delivery,md5,051552b4da740a3af5bd5643b1dc239a,
2024-12-16,Network activity,url,http://193.42.32.138/api/,
2024-12-16,Network activity,url,http://87.251.67.51/api/,
2024-12-16,Network activity,url,http://31.44.4.40/test/bat_install.bat,
2024-12-16,Network activity,url,https://golden-scalen.com/files/*,
2024-12-16,Network activity,url,http://188.227.58.243/pretencia/www.php,
2024-12-16,Network activity,url,http://188.227.58.243/zayavka/www.php,
2024-12-16,Network activity,url,http://188.227.58.243/pretencia/installet_bat_vbs.bat,
2024-12-16,Network activity,url,http://188.227.106.124/test/js/www.php,
2024-12-16,Network activity,url,http://188.227.106.124/test/js/BLD.exe,
2024-12-16,Network activity,url,http://188.227.106.124/test/js/1.js,
2024-12-16,Network activity,url,http://45.133.16.135/zayavka/www.php,
2024-12-16,Network activity,url,http://45.133.16.135/zayavka/666.bat,
2024-12-16,Network activity,url,http://45.133.16.135/zayavka/1.yay,
2024-12-16,Network activity,url,http://golden-scalen.com/ngg_cl.zip,
2024-12-16,Payload delivery,filename,Client32.ini,
2024-12-16,Payload delivery,md5,edfb8d26fa34436f2e92d5be1cb5901b,
2024-12-16,Payload delivery,md5,3e86f6fc7ed037f3c9560cc59aa7aacc,
2024-12-16,Payload delivery,md5,ae4d6812f5638d95a82b3fa3d4f92861,
2024-12-16,Payload delivery,md5,67677c815070ca2e3ebd57a6adb58d2e,
2024-12-16,Payload delivery,filename,Nsm.lic,
2024-12-16,Payload delivery,md5,17a78f50e32679f228c43823faabedfd,
2024-12-16,Payload delivery,md5,b9956282a0fed076ed083892e498ac69,
2024-12-16,Payload delivery,md5,1b41e64c60ca9dfadeb063cd822ab089,
2024-12-16,Network activity,domain,xoomep1.com,
2024-12-16,Network activity,domain,xoomep2.com,
2024-12-16,Network activity,domain,labudanka1.com,
2024-12-16,Network activity,domain,labudanka2.com,
2024-12-16,Network activity,domain,gribidi1.com,
2024-12-16,Network activity,domain,gribidi2.com,
2024-12-16,Network activity,domain,shetrn1.com,
2024-12-16,Network activity,domain,shetrn2.com,
